antigos;novos;
Redução Relativa ao Limite;Redução Relativa ao Limite;
Classificação PBE;Classificação PBE;
GTS250TSI AUTOMÁTICO;GTS250TSI AUTOMÁTICO;
Combustão;Combustão;
Transmissão;Transmissão;
Automática(A);Automática(A);
Master Furgão;Master Furgão;
SENSETSI AUTOMÁTICO;SENSETSI AUTOMÁTICO;
TSI AUTOMÁTICO(MY24);TSI AUTOMÁTICO(MY24);
Direção Assistida;Direção Assistida;
CAYENNE(Produção;CAYENNE(Produção;
Semana18+/24);Semana18+/24);
Híbrido;Híbrido;
YARISSEDAN;YARISSEDAN;
HIGHLINE200TSI AUTOMÁTICO;HIGHLINE200TSI AUTOMÁTICO;
Combustível;Combustível;
Utilitário Esportivo Grande4x4;Utilitário Esportivo Grande4x4;
Gás Efeito Estufa;Gás Efeito Estufa;
CAYMAN(Produção;CAYMAN(Produção;
Semana12+/24);Semana12+/24);
Elétrico;Elétrico;
Coupê;Coupê;
Tipo de Propulsão;Tipo de Propulsão;
Comparação Relativa;Comparação Relativa;
Mégane;Mégane;
Master PROFurgão;Master PROFurgão;
Médio;Médio;
Furgão;Furgão;
Utilitário Esportivo Grande;Utilitário Esportivo Grande;
Coupê(2025);Coupê(2025);
BOXSTER (Produção;BOXSTER (Produção;
Semana12+/24);Semana12+/24);
COMFORTLINE200TSI AUTOMÁTICO;COMFORTLINE200TSI AUTOMÁTICO;
Autonomia modo Elétrico;Autonomia modo Elétrico;
VEHP CO2 fóssil;VEHP CO2 fóssil;
EXCLUSIVE250TSI AUTOMÁTICO;EXCLUSIVE250TSI AUTOMÁTICO;
COMFORTLINE250TSI AUTOMÁTICO;COMFORTLINE250TSI AUTOMÁTICO;
Versão;Versão;
Utilitário Esportivo Compacto;Utilitário Esportivo Compacto;
Gasolina ou Diesel CO2 fóssil;Gasolina ou Diesel CO2 fóssil;
Selo CONPET de Eficiência Energética;Selo CONPET de Eficiência Energética;
Etanol CO2 fóssil;Etanol CO2 fóssil;
Consumo Energético;Consumo Energético;
Elétrico quando VE ou VEHP;Elétrico quando VE ou VEHP;
COMFORTLINETSI AUTOMÁTICO;COMFORTLINETSI AUTOMÁTICO;
FurgãoPró ToléL1H1/L2H2/L3H2/Vitré;FurgãoPró ToléL1H1/L2H2/L3H2/Vitré;
HIGHLINETSI AUTOMÁTICO;HIGHLINETSI AUTOMÁTICO;
HIGHLINE250TSI AUTOMÁTICO;HIGHLINE250TSI AUTOMÁTICO
