Categoria;Marca;Modelo;Versão;Motor;Tipo de Propulsão;Transmissão;Ar Condicionado;Direção Assistida;Combustível;Poluentes(NMOG+NOx [mg/km]);Poluentes(CO [mg/km]);Poluentes(CHO [mg/km]);Redução Relativa ao Limite;Gás Efeito Estufa (Etanol [CO2 fóssil] [g/km]);Gás Efeito Estufa (Gasolina ou Diesel [CO2 fóssil] [g/km]);Gás Efeito Estufa (VEHP [CO2 fóssil] [g/km]);Km - (Etanol[Cidade][km/l]);Km - (Etanol[Estrada][km/l]);Km - (Gasolina ou Diesel[Cidade][km/l]);Km - (Gasolina ou Diesel[Estrada][km/l]);Km - (Elétrico quando VE ou VEHP [Cidade][km/le]);Km - (Elétrico quando VE ou VEHP [Estrada][km/le]);Consumo Energético;Autonomia modo Elétrico;Classificação PBE (Comparação Relativa);Classificação PBE (Absoluta na Categoria);Selo CONPET de Eficiência Energética;
Sub Compacto;BYD;DOLPHIN MINI;GSEV;Elétrico;Elétrico;N.A.;S;E;E;0;0;0;A;\;0;\;\;\;\;\;58,6;41,9;0,41;280;A;A;-;
Sub Compacto;CAOACHERY;ICAR EQ1;TEC;Elétrico;Elétrico;A-;S;E;E;ND;ND;ND;A;\;-;\;\;\;\;\;50,8;38,6;0,46;198;A;A;-;
Sub Compacto;FIAT;500E;ICON;Elétrico;Elétrico;A-1;S;E;E;ND;ND;ND;A;\;-;\;\;\;\;\;47,3;40,4;0,46;227;A;A;-;
Sub Compacto;FIAT;MOBI;LIKE;1.0-8V;Combustão;M-5;S;H;F;46;225;4;B;0;93;\;9,6;10,4;13,5;15,0;\;\;1,50;\;E;B;-;
Sub Compacto;FIAT;MOBI;TREKKING1.0MT;1.0-8V;Combustão;M-5;S;H;F;46;225;4;B;1;93;\;9,6;10,4;13,5;15,0;\;\;1,50;\;E;B;-;
Sub Compacto;JAC;e-JS1;e-JS1;Elétrico;Elétrico;A-1;S;E;E;ND;ND;ND;A;\;-;\;\;\;;;46,6;35,0;0,50;181;B;A;-;
Sub Compacto;JAC;e-JS1;e-JS1EXT;Elétrico;Elétrico;A-1;S;E;E;ND;ND;ND;A;\;-;\;\;\;;;46,6;35,0;0,50;181;B;A;-;
Sub Compacto;Renault;E-KWID;INTENS;Elétrico;Elétrico;A;S;E;E;ND;ND;ND;A;\;0;\;\;\;\;\;52,7;39,6;0,44;185;A;A;-;
Compacto;FIAT;ARGO;1.0;1.0-6V;Combustão;M-5;S;E;F;47;363;2;B;0;95;\;9,4;10,2;13,3;14,7;\;\;1,53;\;A;C;-;
Compacto;FIAT;ARGO;DRIVE1.0;1.0-6V;Combustão;M-5;S;E;F;47;363;2;B;0;95;\;9,4;10,2;13,3;14,7;\;\;1,53;\;A;C;-;
Compacto;FIAT;ARGO;DRIVE1.3AT;1.3-8V;Combustão;CVT-7;S;E;F;41;312;3;B;0;100;\;9,1;10,1;12,6;13,9;\;\;1,60;\;B;C;-;
Compacto;Hyundai;HB20;Sense;1.0-12V;Combustão;M-5;S;E;F;25;266;2;A;0;94;\;9,6;10,4;13,5;14,6;\;\;1,51;\;A;B;SIM;
Compacto;Hyundai;HB20;Comfort;1.0-12V;Combustão;M-5;S;E;F;25;266;2;A;0;94;\;9,6;10,4;13,5;14,6;\;\;1,51;\;A;B;SIM;
Compacto;Hyundai;HB20;Limited;1.0-12V;Combustão;M-5;S;E;F;25;266;2;A;0;94;\;9,6;10,4;13,5;14,6;\;\;1,51;\;A;B;SIM;
Compacto;Hyundai;HB20;Platinum;1.0-12V;Combustão;M-5;S;E;F;25;266;2;A;0;94;\;9,6;10,4;13,5;14,6;\;\;1,51;\;A;B;SIM;
Compacto;Hyundai;HB20;Comfort;1.0-12VT;Combustão;M-6;S;E;F;26;137;2;A;0;95;\;9,4;10,6;13,4;14,5;\;\;1,52;\;A;B;SIM;
Compacto;Hyundai;HB20;Comfort;1.0-12VT;Combustão;A-6;S;E;F;29;138;3;A;0;105;\;8,3;9,9;11,8;14,0;\;\;1,69;\;C;C;-;
Compacto;Hyundai;HB20;Platinum;1.0-12VT;Combustão;A-6;S;E;F;29;138;3;A;0;105;\;8,3;9,9;11,8;14,0;\;\;1,69;\;C;C;-;
Compacto;Hyundai;HB20;Sense;1.0-12VT;Combustão;A-6;S;E;F;29;138;3;A;0;105;\;8,3;9,9;11,8;14,0;\;\;1,69;\;C;C;-;
Compacto;Hyundai;HB20;PlatinumSmart Sense;1.0-12VT;Combustão;A-6;S;E;F;29;138;3;A;0;105;\;8,3;9,9;11,8;14,0;\;\;1,69;\;C;C;-;
Compacto;Hyundai;HB20;PlatinumPlus;1.0-12VT;Combustão;A-6;S;E;F;35;107;3;A;0;100;\;9,0;10,2;12,6;14,1;\;\;1,59;\;B;C;-;
Compacto;Hyundai;HB20;PlatinumSafety;1.0-12VT;Combustão;A-6;S;E;F;29;138;3;A;0;105;\;8,3;9,9;11,8;14,0;\;\;1,69;\;C;C;-;
Compacto;Hyundai;HB20;PlatinumSafety;1.0-12VT;Combustão;A-6;S;E;F;35;107;3;A;0;100;\;9,0;10,2;12,6;14,1;\;\;1,59;\;B;C;-;
Compacto;Hyundai;HB20;Comfort (25MY);1.0-12VT;Combustão;A-6;S;E;F;27;117;3;A;0;100;\;8,5;10,4;12,3;14,8;\;\;1,61;\;B;C;-;
Compacto;Hyundai;HB20;Sense(25MY);1.0-12V;Combustão;M-5;S;E;F;19;128;1;A;0;93;\;10,0;10,4;13,6;14,8;\;\;1,49;\;A;B;SIM;
Compacto;Hyundai;HB20;Comfort (25MY);1.0-12V;Combustão;M-5;S;E;F;19;128;1;A;0;93;\;10,0;10,4;13,6;14,8;\;\;1,49;\;A;B;SIM;
Compacto;Hyundai;HB20;Limited(25MY);1.0-12V;Combustão;M-5;S;E;F;19;128;1;A;0;93;\;10,0;10,4;13,6;14,8;\;\;1,49;\;A;B;SIM;
Compacto;Hyundai;HB20;Comfort (25MY);1.0-12VT;Combustão;A-6;S;E;F;33;101;3;A;0;96;\;9,1;10,5;13,1;14,8;\;\;1,54;\;B;C;-;
Compacto;Hyundai;HB20;Comfort / PlatinumSafety (25MY);1.0-12VT;Combustão;A-6;S;E;F;33;101;3;A;0;96;\;9,1;10,5;13,1;14,8;\;\;1,54;\;B;C;-;
Compacto;MINI;Cooper;SElectric;Elétrico;Elétrico;A;S;E;E;0;0;0;A;\;\;\;\;\;\;\;38,5;31,8;0,58;161;A;A;-;
Compacto;MINI;Cooper;S3P;2.0-16V;Combustão;DCT-7;S;E;G;9;65;0;A;\;119;\;\;\;10,2;13,0;\;\;1,93;\;E;C;-;
Compacto;MINI;JCW;Hatch3P;2.0-16V;Combustão;A-8;S;E;G;4;76;1;A;\;123;\;\;\;9,9;12,8;\;\;1,99;\;E;C;-;
Compacto;MINI;Cooper;S5P;2.0-16V;Combustão;DCT-7;S;E;G;5;101;1;A;\;118;\;\;\;10,3;13,2;\;\;1,91;\;E;C;-;
Compacto;PEUGEOT;E-208;GT;Elétrico;Elétrico;A-1;S;E;E;0;0;0;A;\;\;\;\;\;\;\;37,8;30,8;0,59;220;A;A;-;
Compacto;PEUGEOT;208;STYLEMT;1.0-6V;Combustão;M-5;S;E;F;29;300;1;B;0;92;\;9,6;11,1;13,3;15,8;\;\;1,47;\;A;B;SIM;
Compacto;PEUGEOT;208;LIKEMT;1.0-6V;Combustão;M-5;S;E;F;29;300;1;B;0;92;\;9,6;11,1;13,3;15,8;\;\;1,47;\;A;B;SIM;
Compacto;PEUGEOT;208;ROADTRIPA;1.6-16V;Combustão;A-6;S;E;F;36;570;3;B;0;112;\;7,7;9,1;11,1;12,9;\;\;1,82;\;E;C;-;
Compacto;PEUGEOT;208;GRIFF T200;1.0-12VT;Combustão;CVT-7;S;E;F;50;284;5;B;0;100;\;8,8;10,0;12,5;14,1;\;\;1,61;\;B;C;-;
Compacto;PEUGEOT;208;ALLUR T200;1.0-12VT;Combustão;CVT-7;S;E;F;50;284;5;B;0;100;\;8,8;10,0;12,5;14,1;\;\;1,61;\;B;C;-;
Compacto;PEUGEOT;208;STYLET200;1.0-12VT;Combustão;CVT-7;S;E;F;59;300;3;B;0;104;\;8,3;9,8;12,0;13,6;\;\;1,69;\;C;C;-;
Compacto;Renault;Sandero;SEDTIONBS;1.0-12V;Combustão;M-5;S;E-H;F;57;133;3;B;0;93;\;10,0;10,2;13,9;14,7;\;\;1,48;\;A;B;SIM;
Compacto;Renault;Sandero;SEDITION;1.0-12V;Combustão;M-5;S;E-H;F;57;133;3;B;0;93;\;10,0;10,2;13,9;14,7;\;\;1,48;\;A;B;SIM;
Compacto;Renault;Sandero;SZE10MT;1.0-12V;Combustão;M-5;S;E-H;F;24;127;2;A;0;99;\;9,3;9,3;13,0;13,7;\;\;1,60;\;B;C;-;
Médio;AUDI;A3Sportback;Sline(ed. 0);2.0-16V;Híbrido;DCT-7;S;E;G;11;107;1;A;\;118;\;\;\;10,5;12,5;\;\;1,92;\;E;C;-;
Médio;AUDI;A3Sportback;PerformanceBlack (ed. 0);2.0-16V;Híbrido;DCT-7;S;E;G;11;107;1;A;\;118;\;\;\;10,5;12,5;\;\;1,92;\;E;C;-;
Médio;AUDI;A3Sportback;Sline;2.0-16V;Híbrido;DCT-7;S;E;G;12;105;1;A;\;118;\;\;\;10,6;12,8;\;\;1,90;\;D;C;-;
Médio;AUDI;A3Sportback;PerformanceBlack;2.0-16V;Híbrido;DCT-7;S;E;G;12;105;1;A;\;118;\;\;\;10,6;12,8;\;\;1,90;\;D;C;-;
Médio;BMW;118i;-;1.5-12V;Combustão;DCT-7;S;E;G;11;160;1;A;\;110;\;\;\;11,5;13,0;\;\;1,78;\;C;C;-;
Médio;BYD;DOLPHIN;GS180EV;Elétrico;Elétrico;N.A.;S;E;E;0;0;0;A;\;-;\;\;\;\;\;51,9;43,5;0,42;291;A;A;-;
Médio;BYD;DOLPHIN;PLUS310EV;Elétrico;Elétrico;N.A.;S;E;E;0;0;0;A;\;-;\;\;\;\;\;42,1;36,8;0,51;330;A;A;-;
Médio;CHEVROLET;BOLT;LT;Elétrico;Elétrico;Automática(A);S;E;E;ND;ND;ND;A;\;-;\;\;\;\;\;45,8;39,0;0,48;390;A;A;-;
Médio;CHEVROLET;BOLT;PREMIER;Elétrico;Elétrico;Automática(A);S;E;E;ND;ND;ND;A;\;-;\;\;\;\;\;45,8;39,0;0,48;390;A;A;-;
Médio;CHEVROLET;BOLT EUV;PREMIER;Elétrico;Elétrico;Automática(A);S;E;E;ND;ND;ND;A;\;-;\;\;\;\;\;47,2;38,2;0,48;377;A;A;-;
Médio;CHEVROLET;ONIX;10MTHB;1.0-12V;Combustão;M-6;S;E;F;43;338;4;B;0;90;\;9,3;11,4;13,3;16,5;\;\;1,46;\;A;B;SIM;
Médio;CHEVROLET;ONIX;10MTLT1;1.0-12V;Combustão;M-6;S;E;F;43;338;4;B;0;90;\;9,3;11,4;13,3;16,5;\;\;1,46;\;A;B;SIM;
Médio;CHEVROLET;ONIX;10MTLT2;1.0-12V;Combustão;M-6;S;E;F;43;338;4;B;0;90;\;9,3;11,4;13,3;16,5;\;\;1,46;\;A;B;SIM;
Médio;CHEVROLET;ONIX;10TATRS;1.0T-12V;Combustão;A-6;S;E;F;41;429;3;B;0;106;\;8,2;9,9;11,7;13,7;\;\;1,71;\;C;C;-;
Médio;CHEVROLET;ONIX;10TATHB;1.0T-12V;Combustão;A-6;S;E;F;42;464;4;C;0;103;\;8,3;10,4;11,6;14,9;\;\;1,66;\;B;C;-;
Médio;CHEVROLET;ONIX;10TATLT1;1.0T-12V;Combustão;A-6;S;E;F;42;464;4;C;0;103;\;8,3;10,4;11,6;14,9;\;\;1,66;\;B;C;-;
Médio;CHEVROLET;ONIX;10TATLTZ;1.0T-12V;Combustão;A-6;S;E;F;42;464;4;C;0;103;\;8,3;10,4;11,6;14,9;\;\;1,66;\;B;C;-;
Médio;CHEVROLET;ONIX;10TATPR2;1.0T-12V;Combustão;A-6;S;E;F;42;464;4;C;0;103;\;8,3;10,4;11,6;14,9;\;\;1,66;\;B;C;-;
Médio;CHEVROLET;ONIX;10TMTLT1;1.0T-12V;Combustão;M-6;S;E;F;52;311;3;B;0;92;\;9,1;11,1;13,1;16,1;\;\;1,50;\;A;B;SIM;
Médio;CHEVROLET;ONIX;10TMTLTZ;1.0T-12V;Combustão;M-6;S;E;F;52;311;3;B;0;92;\;9,1;11,1;13,1;16,1;\;\;1,50;\;A;B;SIM;
Médio;CHEVROLET;ONIXPLUS;10MTLT1;1.0-12V;Combustão;M-6;S;E;F;35;378;3;B;0;88;\;9,3;12,0;13,5;17,4;\;\;1,42;\;A;B;SIM;
Médio;CHEVROLET;ONIXPLUS;10MTLT2;1.0-12V;Combustão;M-6;S;E;F;35;378;3;B;0;88;\;9,3;12,0;13,5;17,4;\;\;1,42;\;A;B;SIM;
Médio;CHEVROLET;ONIXPLUS;10TATNB;1.0T-12V;Combustão;A-6;S;E;F;42;458;4;C;0;98;\;8,6;11,1;12,1;15,8;\;\;1,58;\;B;C;-;
Médio;CHEVROLET;ONIXPLUS;10TATLT1;1.0T-12V;Combustão;A-6;S;E;F;42;458;4;C;0;98;\;8,6;11,1;12,1;15,8;\;\;1,58;\;B;C;-;
Médio;CHEVROLET;ONIXPLUS;10TATLTZ;1.0T-12V;Combustão;A-6;S;E;F;42;458;4;C;0;98;\;8,6;11,1;12,1;15,8;\;\;1,58;\;B;C;-;
Médio;CHEVROLET;ONIXPLUS;10TATPR2;1.0T-12V;Combustão;A-6;S;E;F;42;458;4;C;0;98;\;8,6;11,1;12,1;15,8;\;\;1,58;\;B;C;-;
Médio;CHEVROLET;ONIXPLUS;10TMTLT1;1.0T-12V;Combustão;M-6;S;E;F;46;309;3;B;0;89;\;9,3;11,8;13,4;16,9;\;\;1,44;\;A;B;SIM;
Médio;CHEVROLET;ONIXPLUS;10TMTLTZ;1.0T-12V;Combustão;M-6;S;E;F;46;309;3;B;0;89;\;9,3;11,8;13,4;16,9;\;\;1,44;\;A;B;SIM;
Médio;CHEVROLET;SPIN;1.8LATLS;1.8L-8V;Combustão;A-6;S;E;F;30;366;2;B;0;121;\;7,2;8,8;10,2;12,6;\;\;1,94;\;E;C;-;
Médio;CHEVROLET;SPIN;1.8LATLT;1.8L-8V;Combustão;A-6;S;E;F;30;366;2;B;0;121;\;7,2;8,8;10,2;12,6;\;\;1,94;\;E;C;-;
Médio;CHEVROLET;SPIN;1.8LATACT;1.8L-8V;Combustão;A-6;S;E;F;33;351;2;B;0;125;\;6,9;8,6;9,8;12,3;\;\;2,02;\;E;C;-;
Médio;CHEVROLET;SPIN;1.8LATLTZ5;1.8L-8V;Combustão;A-6;S;E;F;33;351;2;B;0;125;\;6,9;8,6;9,8;12,3;\;\;2,02;\;E;C;-;
Médio;CHEVROLET;SPIN;1.8LMTLSE;1.8L-8V;Combustão;M-6;S;E;F;52;411;2;B;0;115;\;7,5;8,9;10,8;12,8;\;\;1,87;\;D;C;-;
Médio;CHEVROLET;SPIN;1.8LMTLT;1.8L-8V;Combustão;M-6;S;E;F;52;411;2;B;0;115;\;7,5;8,9;10,8;12,8;\;\;1,87;\;D;C;-;
Médio;CHEVROLET;SPIN;1.8LMTLT(MY25);1.8L-8V;Combustão;M-6;S;E;F;39;396;3;B;0;115;\;7,7;8,6;11,0;12,5;\;\;1,87;\;D;C;-;
Médio;CHEVROLET;SPIN;1.8LATLT(MY25);1.8L-8V;Combustão;A-6;S;E;F;35;439;3;B;0;115;\;7,4;9,3;10,5;13,4;\;\;1,87;\;D;C;-;
Médio;FIAT;CRONOS;1.0;1.0-6V;Combustão;M-5;S;E;F;39;377;3;B;0;92;\;9,8;11,0;13,4;15,6;\;\;1,47;\;A;B;SIM;
Médio;FIAT;CRONOS;DRIVE1.0;1.0-6V;Combustão;M-5;S;E;F;39;377;3;B;0;92;\;9,8;11,0;13,4;15,6;\;\;1,47;\;A;B;SIM;
Médio;FIAT;CRONOS;DRIVE1.3;1.3-8V;Combustão;M-5;S;E;F;33;174;2;B;0;95;\;9,0;10,9;12,8;15,5;\;\;1,53;\;A;C;-;
Médio;FIAT;CRONOS;PREC 1.3AT;1.3-8V;Combustão;CVT-7;S;E;F;26;156;2;B;0;94;\;9,3;11,0;13,3;15,0;\;\;1,50;\;A;B;SIM;
Médio;FIAT;CRONOS;DRIVE1.3AT;1.3-8V;Combustão;CVT-7;S;E;F;26;156;2;B;0;94;\;9,3;11,0;13,3;15,0;\;\;1,50;\;A;B;SIM;
Médio;GWM;ORA03;GTBEV63;Elétrico;Elétrico;A-1;S;E;E;ND;ND;ND;A;\;-;\;\;\;\;\;42,4;36,5;0,51;319;A;A;-;
Médio;GWM;ORA03;SKINBEV48;Elétrico;Elétrico;A-1;S;E;E;ND;ND;ND;A;\;-;\;\;\;\;\;41,7;35,7;0,52;232;A;A;-;
Médio;HONDA;CITY;LX;1.5-16V;Combustão;CVT;S;E;F;20;93;1;A;0;94;\;9,2;10,5;13,1;15,2;\;\;1,53;\;A;C;-;
Médio;HONDA;CITY;EX;1.5-16V;Combustão;CVT;S;E;F;20;93;1;A;0;94;\;9,2;10,5;13,1;15,2;\;\;1,53;\;A;C;-;
Médio;HONDA;CITY;EXL;1.5-16V;Combustão;CVT;S;E;F;20;93;1;A;0;94;\;9,2;10,5;13,1;15,2;\;\;1,53;\;A;C;-;
Médio;HONDA;CITY;TOURING;1.5-16V;Combustão;CVT;S;E;F;20;93;1;A;0;94;\;9,2;10,5;13,1;15,2;\;\;1,53;\;A;C;-;
Médio;HONDA;CITYHATCH;LX;1.5-16V;Combustão;CVT;S;E;F;23;84;2;A;0;95;\;9,1;10,5;13,3;14,8;\;\;1,53;\;A;C;-;
Médio;HONDA;CITYHATCH;EX;1.5-16V;Combustão;CVT;S;E;F;23;84;2;A;0;95;\;9,1;10,5;13,3;14,8;\;\;1,53;\;A;C;-;
Médio;HONDA;CITYHATCH;EXL;1.5-16V;Combustão;CVT;S;E;F;23;84;2;A;0;95;\;9,1;10,5;13,3;14,8;\;\;1,53;\;A;C;-;
Médio;HONDA;CITYHATCH;TOURING;1.5-16V;Combustão;CVT;S;E;F;23;84;2;A;0;95;\;9,1;10,5;13,3;14,8;\;\;1,53;\;A;C;-;
